COLLEGES,CITY,WEBSITE,COURSE
"International School of Management - [ISM], Patna","Patna, Bihar",N/A,MBA/PGDM
"Chandragupt Institute of Management - [CIMP], Patna","Patna, Bihar",N/A,MBA/PGDM
"Lalit Narayan Mishra Institute of Economic Development and Social Change - [LNMI], Patna","Patna, Bihar",N/A,MBA/PGDM
"Patna University - [PU], Patna","Patna, Bihar",N/A,MBA/PGDM
"Birla Institute of Technology - [BIT], Patna","Patna, Bihar",N/A,MBA/PGDM
"Aryabhatta Knowledge University - [AKU], Patna","Patna, Bihar",N/A,MBA/PGDM
"Ambedkar Institute of Higher Education - [AIHE], Patna","Patna, Bihar",N/A,MBA/PGDM
"All India Institute of Medical Sciences - [AIIMS], Patna","Patna, Bihar",N/A,MBA/PGDM
"Indian Institute of Health Education and Research -[IIHER], Patna","Patna, Bihar",N/A,MBA/PGDM
"R.P. Sharma Institute of Technology, Patna","Patna, Bihar",N/A,MBA/PGDM
"Anugrah Narayan College - [ANC], Patna","Patna, Bihar",N/A,MBA/PGDM
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,MBA/PGDM
"College of Commerce, Arts & Science, Patna","Patna, Bihar",N/A,MBA/PGDM
"Amity University, Patna","Patna, Bihar",N/A,MBA/PGDM
"Patliputra University, Patna","Patna, Bihar",N/A,MBA/PGDM
"Bhuwaneshwari Dayal College - [BDC] Mithapur, Patna","Patna, Bihar",N/A,MBA/PGDM
"Bindeshwar Singh College, Patna","Patna, Bihar",N/A,MBA/PGDM
"Sri Guru Gobind Singh College, Patna","Patna, Bihar",N/A,MBA/PGDM
"Indian Institute of Business Management - [IIBM], Patna","Patna, Bihar",N/A,MBA/PGDM
"JD Women's College, Patna","Patna, Bihar",N/A,MBA/PGDM
"Catalyst Institute of Management and Advance Global Excellence - [CIMAGE], Patna","Patna, Bihar",N/A,MBA/PGDM
"Maulana Mazharul Haque Arabic and Persian University - [MMHAPU], Patna","Patna, Bihar",N/A,MBA/PGDM
"Development Management Institute - [DMI], Patna","Patna, Bihar",N/A,MBA/PGDM
"Impact College, Patna","Patna, Bihar",N/A,MBA/PGDM
"Directorate of Distance Education, Patna University, Patna","Patna, Bihar",N/A,MBA/PGDM
"Footwear Design and Development - [FDDI], Patna","Patna, Bihar",N/A,MBA/PGDM
"Nalanda Business School - [NBC], Patna","Patna, Bihar",N/A,MBA/PGDM
"Viraj Institute of Medical Science - [VIMS], Patna","Patna, Bihar",N/A,MBA/PGDM
"Bradford International Business School, Patna","Patna, Bihar",N/A,MBA/PGDM
"Magadh Professional Institute, Patna","Patna, Bihar",N/A,MBA/PGDM
"Chanakya College Of Higher Studies, Patna","Patna, Bihar",N/A,MBA/PGDM
"Satyam Institute Of Technology & Management, Patna","Patna, Bihar",N/A,MBA/PGDM
"Dr. C.V. Raman University - [CVRU], Vaishali",24 kms from Patna,N/A,MBA/PGDM
"H.D. Jain College, Arrah",47 kms from Patna,N/A,MBA/PGDM
"Veer Kunwar Singh University - [VKSU], Arrah",47 kms from Patna,N/A,MBA/PGDM
"Nalanda Open University - [NOU], Nalanda",50 kms from Patna,N/A,MBA/PGDM
"Nalanda University, Nalanda",50 kms from Patna,N/A,MBA/PGDM
"K.K. University, Nalanda",50 kms from Patna,N/A,MBA/PGDM
"Nalanda College, Biharsharif",58 kms from Patna,N/A,MBA/PGDM
"Jinvani Management College - [JMC], Bhojpur",63 kms from Patna,N/A,MBA/PGDM
"Chanakya Institute Of Management And Higher Studies, Bhojpur",63 kms from Patna,N/A,MBA/PGDM
"Vaishali Institute of Business and Rural Management - [VIBRM], Muzaffarpur",64 kms from Patna,N/A,MBA/PGDM
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur",64 kms from Patna,N/A,MBA/PGDM
"L. N. Mishra College of Business Management, Muzaffarpur",64 kms from Patna,N/A,MBA/PGDM
"Directorate of Distance Education, B.R.A. Bihar University - [DDEBRABU], Muzaffarpur",64 kms from Patna,N/A,MBA/PGDM
"Aadarsh India Technical and Paramedical College, Muzaffarpur",64 kms from Patna,N/A,MBA/PGDM
"College of Basic Sciences & Humanities, Pusa",67 kms from Patna,N/A,MBA/PGDM
"Dr. Rajendra Prasad Central Agricultural University, Samastipur",71 kms from Patna,N/A,MBA/PGDM
"Indian Institute of Management - [IIMBG], Gaya",90 kms from Patna,N/A,MBA/PGDM
"Magadh University - [MU], Gaya",90 kms from Patna,N/A,MBA/PGDM
"Gaya College, Gaya",90 kms from Patna,N/A,MBA/PGDM
"Zevient Institute of Management, Gaya",90 kms from Patna,N/A,MBA/PGDM
"Lalit Narayan Mithila University - [LNMU], Darbhanga",98 kms from Patna,N/A,MBA/PGDM
"Institute of Business Management - [IBM], Darbhanga",98 kms from Patna,N/A,MBA/PGDM
"Oracle Institute of Management & Information Technology - [OIMIT], Ballia",101 kms from Patna,N/A,MBA/PGDM
"Ganga Global Institute of Management Studies, Begusarai",101 kms from Patna,N/A,MBA/PGDM
"Mamta Institute of Education -[MIED], Siwan",103 kms from Patna,N/A,MBA/PGDM
"M.V. College, Buxar",116 kms from Patna,N/A,MBA/PGDM
"Mahatma Gandhi Central University - [MGCU], Motihari",119 kms from Patna,N/A,MBA/PGDM
"Sachchidanand Sinha College, Aurangabad",127 kms from Patna,N/A,MBA/PGDM
"Capital University - [CU], Kodarma",133 kms from Patna,N/A,MBA/PGDM
"Gopal Narayan Singh University - [GNSU], Sasaram",133 kms from Patna,N/A,MBA/PGDM
"Sandip University, Madhubani",142 kms from Patna,N/A,MBA/PGDM
"Technical Education and Research Institute - [TERI], Ghazipur",156 kms from Patna,N/A,MBA/PGDM
"Oracle Institute of Management & Information Technology - [OIMIT], Ballia",101 kms from Patna,N/A,MBA/PGDM
"Ganga Global Institute of Management Studies, Begusarai",101 kms from Patna,N/A,MBA/PGDM
"Mamta Institute of Education -[MIED], Siwan",103 kms from Patna,N/A,MBA/PGDM
"M.V. College, Buxar",116 kms from Patna,N/A,MBA/PGDM
"Mahatma Gandhi Central University - [MGCU], Motihari",119 kms from Patna,N/A,MBA/PGDM
"Sachchidanand Sinha College, Aurangabad",127 kms from Patna,N/A,MBA/PGDM
"Capital University - [CU], Kodarma",133 kms from Patna,N/A,MBA/PGDM
"Gopal Narayan Singh University - [GNSU], Sasaram",133 kms from Patna,N/A,MBA/PGDM
"Sandip University, Madhubani",142 kms from Patna,N/A,MBA/PGDM
"Technical Education and Research Institute - [TERI], Ghazipur",156 kms from Patna,N/A,MBA/PGDM
"Sarvodaya College of Technology and Management - [SCOTM], Deoria",169 kms from Patna,N/A,MBA/PGDM
"AISECT University, Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"KB Women's College, Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"Vinoba Bhave University - [VBU], Hazaribagh",179 kms from Patna,N/A,MBA/PGDM
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur",187 kms from Patna,N/A,MBA/PGDM
"Ramchandra Chandravansi University - [RCU], Palamu",189 kms from Patna,N/A,MBA/PGDM
"Indian Statistical Institute, Giridih",195 kms from Patna,N/A,MBA/PGDM
"Durga Soren University, Deoghar",200 kms from Patna,N/A,MBA/PGDM
"IIT Patna - Indian Institute of Technology - [IITP], Patna","Patna, Bihar",N/A,B.Sc
"National Institute of Technology - [NITP], Patna","Patna, Bihar",N/A,B.Sc
"Indira Gandhi Institute of Medical Sciences - [IGIMS], Patna","Patna, Bihar",N/A,B.Sc
"MGM Group of Institutions, Patna","Patna, Bihar",N/A,B.Sc
"Magadh Mahila College, Patna","Patna, Bihar",N/A,B.Sc
"R.P. Sharma Institute of Technology, Patna","Patna, Bihar",N/A,B.Sc
"Maltidhari College, Patna","Patna, Bihar",N/A,B.Sc
"Anugrah Narayan College - [ANC], Patna","Patna, Bihar",N/A,B.Sc
"Patna Women's College - [PWC], Patna","Patna, Bihar",N/A,B.Sc
"Ram Krishna Dwarika College - [RKD], Patna","Patna, Bihar",N/A,B.Sc
